Hafta,Tarih,Ev Sahibi,Deplasman,Skor,Ev xG,Dep xG,Ev KK,Dep KK,Ev Pen,Dep Pen,Ev İŞ,Dep İŞ,Ev TS,Dep TS,Ev Şut,Dep Şut,Ev Kor,Dep Kor
12,2025-11-08,Gaziantep F.K.,Rizespor,2 - 2,1.9887000000000001,1.3607999999999998,0,0,1,0,9,0,60,0,15,0,3,0
12,2025-11-07,Gençlerbirliği,İstanbul Başakşehir,2 - 1,1.9208,1.6058999999999999,0,0,1,0,7,0,28,0,15,0,4,0
12,2025-11-08,Kasımpaşa,Göztepe,0 - 2,0.4989,1.5614000000000001,0,0,0,0,3,0,68,0,12,0,5,0
12,2025-11-09,Kocaelispor,Galatasaray,1 - 0,0.8083,0.6623,0,0,0,0,3,0,34,0,9,0,1,0
12,2025-11-09,Samsunspor,Eyüpspor,1 - 0,1.6533,0.0637,0,0,0,0,7,0,63,0,17,0,14,0
12,2025-11-08,Trabzonspor,Alanyaspor,1 - 1,1.3875000000000002,1.4096,0,0,0,0,3,0,59,0,16,0,1,0
13,2025-11-23,Alanyaspor,Kasımpaşa,1 - 2,1.0667,0.9974000000000001,0,0,0,0,6,0,68,0,17,0,13,0
13,2025-11-23,Beşiktaş,Samsunspor,1 - 1,1.7337000000000002,1.4952999999999999,0,0,1,0,2,0,61,0,14,0,4,0
13,2025-11-22,Eyüpspor,Fatih Karagümrük,1 - 1,1.4309,1.1368,0,0,0,0,4,0,55,0,12,0,5,0
13,2025-11-22,Galatasaray,Gençlerbirliği,3 - 2,4.2935,1.6987999999999999,1,0,0,0,9,0,73,0,28,0,4,0
13,2025-11-23,Göztepe,Kocaelispor,0 - 0,0.6246,0.5072,0,0,0,0,0,0,41,0,8,0,4,0
13,2025-11-22,Kayserispor,Gaziantep F.K.,0 - 3,0.8705,1.1616,0,0,0,0,1,0,57,0,15,0,3,0
13,2025-11-24,Konyaspor,Antalyaspor,0 - 0,1.2048999999999999,0.5225,0,0,0,0,1,0,59,0,12,0,10,0
13,2025-11-23,Rizespor,Fenerbahçe,2 - 5,0.5745,2.8445,1,0,0,0,2,0,41,0,6,0,5,0
13,2025-11-24,İstanbul Başakşehir,Trabzonspor,3 - 4,1.7007999999999999,2.6766,1,0,1,0,3,0,36,0,9,0,1,0
14,2025-11-30,Antalyaspor,Göztepe,1 - 2,0.6604,0.7039,0,0,0,0,3,0,50,0,8,0,1,0
14,2025-11-30,Fatih Karagümrük,Beşiktaş,0 - 2,0.569,3.4116999999999997,0,0,0,0,0,0,38,0,7,0,2,0
14,2025-12-01,Fenerbahçe,Galatasaray,1 - 1,0.885,0.3592,0,0,0,0,2,0,56,0,17,0,7,0
14,2025-11-29,Gaziantep F.K.,Eyüpspor,1 - 2,0.7960999999999999,3.1394,0,0,0,0,5,0,59,0,13,0,13,0
14,2025-11-29,Kasımpaşa,İstanbul Başakşehir,1 - 3,1.3281999999999998,0.9158,0,0,0,0,5,0,51,0,16,0,12,0
14,2025-11-28,Kocaelispor,Gençlerbirliği,1 - 0,1.278,0.2705,0,0,0,0,4,0,53,0,15,0,6,0
14,2025-11-29,Rizespor,Kayserispor,0 - 1,1.7182,0.6525000000000001,0,0,0,0,3,0,59,0,16,0,5,0
14,2025-12-01,Samsunspor,Alanyaspor,1 - 1,0.4953,0.5803,1,0,0,0,1,0,52,0,7,0,3,0
14,2025-11-29,Trabzonspor,Konyaspor,3 - 1,2.4244000000000003,1.2231,0,0,1,0,8,0,53,0,19,0,3,0
15,2025-12-08,Alanyaspor,Antalyaspor,0 - 0,0.5817999999999999,0.4252,0,0,0,0,2,0,55,0,9,0,9,0
15,2025-12-08,Beşiktaş,Gaziantep F.K.,2 - 2,2.2167999999999997,0.619,0,0,0,0,12,0,58,0,29,0,10,0
15,2025-12-06,Eyüpspor,Kayserispor,1 - 1,1.4577,0.5606,0,0,0,0,7,0,59,0,16,0,3,0
15,2025-12-05,Galatasaray,Samsunspor,3 - 2,2.0306,1.5139,0,0,0,0,6,0,58,0,13,0,1,0
15,2025-12-07,Gençlerbirliği,Fatih Karagümrük,3 - 0,1.8354,0.5269,0,0,0,0,7,0,40,0,19,0,7,0
15,2025-12-07,Göztepe,Trabzonspor,1 - 2,1.5341,1.0985,1,0,0,0,8,0,38,0,21,0,7,0
15,2025-12-07,Kocaelispor,Kasımpaşa,0 - 0,1.0802,0.20900000000000002,0,0,0,0,3,0,67,0,9,0,5,0
15,2025-12-06,Konyaspor,Rizespor,1 - 1,1.4506000000000001,0.9618,0,0,1,0,3,0,48,0,11,0,4,0
15,2025-12-06,İstanbul Başakşehir,Fenerbahçe,1 - 1,1.4418,0.9678,0,0,0,0,4,0,52,0,18,0,10,0
16,2025-12-13,Antalyaspor,Galatasaray,1 - 4,1.3732,1.4186,0,0,0,0,3,0,37,0,11,0,5,0
16,2025-12-14,Fatih Karagümrük,Kocaelispor,1 - 1,0.8583000000000001,1.1211,0,0,0,0,2,0,35,0,8,0,2,0
16,2025-12-15,Fenerbahçe,Konyaspor,4 - 0,3.1045999999999996,1.1510999999999998,0,0,1,0,9,0,53,0,17,0,4,0
16,2025-12-14,Gaziantep F.K.,Göztepe,0 - 1,2.0768,0.7827999999999999,0,0,1,0,3,0,58,0,19,0,8,0
16,2025-12-12,Kasımpaşa,Gençlerbirliği,0 - 0,0.8056,0.7103,0,0,0,0,3,0,49,0,10,0,3,0
16,2025-12-13,Kayserispor,Alanyaspor,0 - 0,0.6563000000000001,1.1442,0,0,0,0,4,0,42,0,10,0,3,0
16,2025-12-13,Rizespor,Eyüpspor,3 - 0,2.4356,0.3984,0,0,1,0,6,0,45,0,14,0,3,0
16,2025-12-14,Samsunspor,İstanbul Başakşehir,0 - 2,0.9402999999999999,2.0253,0,0,0,0,4,0,53,0,15,0,7,0
16,2025-12-14,Trabzonspor,Beşiktaş,3 - 3,1.3659999999999999,1.1124999999999998,0,0,0,0,13,0,76,0,34,0,7,0
