Hafta,Tarih,Ev Sahibi,Deplasman,Skor,Ev xG,Dep xG,Ev KK,Dep KK,Ev Pen,Dep Pen,Ev İŞ,Dep İŞ,Ev TS,Dep TS,Ev Şut,Dep Şut,Ev Kor,Dep Kor,Ev_Eksik_Hucum,Ev_Eksik_Savunma,Ev_Eksik_Orta,Dep_Eksik_Hucum,Dep_Eksik_Savunma,Dep_Eksik_Orta
10,2025-10-29,Nantes,Monaco,3 - 5,2.12,3.0774,0,0,0,0,5,0,48,0,18,0,1,0,0.0,0.0,0.8,0.0,1.8,25.0
10,2025-10-29,Nice,LOSC Lille,2 - 0,1.3303000000000005,1.267,0,0,1,0,4,0,32,0,8,0,2,0,0.0,19.5,0.0,9.0,18.6,0.0
10,2025-10-29,Olympique Marseille,Angers SCO,2 - 2,1.4535,0.8786999999999999,0,0,0,0,6,0,59,0,11,0,1,0,28.0,36.0,24.0,0.0,3.8,0.0
10,2025-10-29,Paris,Olympique Lyonnais,3 - 3,0.7098,1.2882,1,0,0,0,3,0,52,0,11,0,4,0,2.6,9.2,0.0,42.0,0.0,10.0
10,2025-10-29,Strasbourg,Auxerre,3 - 0,3.5542,0.6132000000000001,0,0,0,0,9,0,64,0,18,0,4,0,28.0,20.25,4.0,0.0,0.0,0.0
10,2025-10-29,Toulouse,Rennes,2 - 2,1.7837,0.9741,0,0,1,0,4,0,55,0,15,0,5,0,0.0,1.5,0.0,1.0,0.0,0.0
11,2025-11-01,Auxerre,Olympique Marseille,0 - 1,0.8281,0.5933,1,0,0,0,4,0,49,0,9,0,3,0,0.0,0.0,0.0,28.0,36.0,33.0
11,2025-11-02,Brest,Olympique Lyonnais,0 - 0,1.4451,0.1842,0,0,0,0,3,0,50,0,13,0,12,0,0.0,0.0,9.0,42.0,10.0,10.0
11,2025-11-02,LOSC Lille,Angers SCO,1 - 0,2.1629,0.3468,0,0,0,0,4,0,54,0,15,0,9,0,9.0,38.6,0.0,0.0,3.0,0.0
11,2025-11-02,Lens,Lorient,3 - 0,2.1638,2.0981,0,0,0,0,6,0,58,0,9,0,7,0,0.0,0.0,1.0,6.5,1.5,2.25
11,2025-11-01,Monaco,Paris,0 - 1,0.8632,1.0469,0,0,0,0,1,0,55,0,10,0,3,0,0.0,0.0,25.0,0.0,0.0,0.0
11,2025-11-02,Nantes,Metz,0 - 2,1.0851,0.9287,0,0,0,0,4,0,52,0,16,0,8,0,0.0,0.0,7.8,5.05,6.4,0.0
11,2025-11-01,Paris Saint Germain,Nice,1 - 0,2.0546,0.5441,0,0,0,0,8,0,77,0,28,0,11,0,90.0,0.5,0.0,15.0,19.5,0.0
11,2025-11-02,Rennes,Strasbourg,4 - 1,2.3678,1.6308,0,0,0,0,6,0,41,0,13,0,6,0,1.0,0.0,0.0,28.0,20.25,4.0
11,2025-11-02,Toulouse,Le Havre,0 - 0,1.7264,0.8568,0,0,0,0,2,0,46,0,18,0,10,0,0.0,0.0,0.0,0.8,0.0,0.0
12,2025-11-09,Angers SCO,Auxerre,2 - 0,1.0849,0.9679,0,0,0,0,5,0,49,0,9,0,3,0,0.0,0.0,0.0,0.9,5.0,1.8
12,2025-11-08,Le Havre,Nantes,1 - 1,1.3897,0.1614999999999999,0,0,0,0,4,0,65,0,17,0,8,0,0.0,0.0,0.0,0.0,1.0,7.8
12,2025-11-09,Lorient,Toulouse,1 - 1,1.3485,1.4117,0,0,1,0,2,0,50,0,10,0,6,0,6.5,4.5,2.25,0.0,0.0,5.0
12,2025-11-09,Metz,Nice,2 - 1,1.5126,1.1838000000000002,0,0,1,0,2,0,49,0,9,0,6,0,0.05,2.3,0.0,0.0,19.5,3.0
12,2025-11-08,Monaco,Lens,1 - 4,2.8801,2.678300000000001,1,0,2,0,6,0,50,0,16,0,5,0,0.0,36.8,41.0,0.0,0.0,1.0
12,2025-11-09,Olympique Lyonnais,Paris Saint Germain,2 - 3,0.766,0.9336,1,0,0,0,2,0,28,0,9,0,5,0,42.0,12.0,30.0,190.0,155.0,0.0
12,2025-11-08,Olympique Marseille,Brest,3 - 0,3.0491,0.3214,0,0,1,0,7,0,64,0,19,0,6,0,28.0,36.0,9.0,0.0,0.0,9.0
12,2025-11-07,Paris,Rennes,0 - 1,2.2767,0.9551,0,0,0,0,4,0,52,0,20,0,8,0,4.4,9.2,0.0,0.0,10.0,0.0
12,2025-11-09,Strasbourg,LOSC Lille,2 - 0,0.4067,0.2623,0,0,0,0,2,0,42,0,5,0,1,0,0.0,20.25,4.0,9.0,18.6,0.0
13,2025-11-23,Auxerre,Olympique Lyonnais,0 - 0,2.1688,1.2101,0,0,1,0,5,0,30,0,12,0,7,0,0.9,4.5,3.5,42.0,13.0,35.0
13,2025-11-23,Brest,Metz,3 - 2,3.1491,0.9577,0,0,2,0,7,0,56,0,20,0,6,0,0.0,10.0,0.0,5.05,1.3,0.0
13,2025-11-23,LOSC Lille,Paris,4 - 2,3.729200000000001,0.9311,0,0,2,0,10,0,52,0,17,0,9,0,0.0,21.6,4.0,4.4,19.2,0.0
13,2025-11-22,Lens,Strasbourg,1 - 0,1.8102,0.5368,1,0,0,0,5,0,55,0,13,0,3,0,0.0,3.0,0.0,15.0,20.25,4.0
13,2025-11-23,Nantes,Lorient,1 - 1,1.0106,0.4869,0,0,0,0,1,0,56,0,9,0,1,0,0.0,0.0,12.8,0.5,4.5,4.25
13,2025-11-21,Nice,Olympique Marseille,1 - 5,1.1459,2.2868,0,0,0,0,7,0,53,0,15,0,8,0,0.0,19.5,15.0,28.0,38.0,0.0
13,2025-11-22,Paris Saint Germain,Le Havre,3 - 0,4.3108,1.5772,0,0,0,0,11,0,65,0,31,0,6,0,190.0,80.5,0.0,0.8,0.0,0.0
13,2025-11-22,Rennes,Monaco,4 - 1,2.6705,1.3962,0,0,1,0,9,0,50,0,17,0,4,0,0.0,0.0,0.0,30.0,20.0,0.0
13,2025-11-23,Toulouse,Angers SCO,0 - 1,1.7883000000000002,0.4839,0,0,0,0,6,0,54,0,25,0,11,0,0.0,0.0,3.8,0.0,3.0,0.0
14,2025-11-30,Angers SCO,Lens,1 - 2,0.9554,1.9379,0,0,0,0,5,0,45,0,7,0,2,0,0.0,3.0,0.0,0.0,3.0,1.0
14,2025-11-30,Le Havre,LOSC Lille,0 - 1,0.9532,1.1284,0,0,0,0,7,0,43,0,14,0,6,0,0.0,0.0,3.0,6.0,21.6,0.0
14,2025-11-30,Lorient,Nice,3 - 1,2.7385,0.8986,0,0,0,0,7,0,43,0,18,0,3,0,0.5,4.5,2.25,0.0,19.5,3.0
14,2025-11-28,Metz,Rennes,0 - 1,1.0891,1.0608,0,0,0,0,5,0,52,0,16,0,6,0,5.05,1.3,0.0,0.0,0.0,0.0
14,2025-11-29,Monaco,Paris Saint Germain,1 - 0,0.7935,1.151,1,0,0,0,5,0,43,0,10,0,4,0,0.0,20.0,25.0,90.0,155.5,0.0
