Hafta,Tarih,Ev Sahibi,Deplasman,Skor,Ev xG,Dep xG,Ev KK,Dep KK,Ev Pen,Dep Pen,Ev İŞ,Dep İŞ,Ev TS,Dep TS,Ev Şut,Dep Şut,Ev Kor,Dep Kor,Ev_Eksik_Hucum,Ev_Eksik_Savunma,Ev_Eksik_Orta,Dep_Eksik_Hucum,Dep_Eksik_Savunma,Dep_Eksik_Orta
8,2025-10-05,Arouca,Famalicão,1 - 1,0.5891000000000001,1.8288,1,0,0,0,3,0,46,0,7,0,4,0,0.0,0.0,0.0,4.0,0.0,0.0
8,2025-10-03,Casa Pia,Estoril,2 - 2,1.459,0.7514000000000001,0,0,0,0,5,0,51,0,11,0,6,0,0.3,0.0,0.0,0.0,0.0,1.0
8,2025-10-04,Gil Vicente,Estrela Amadora,2 - 0,2.5903,0.8898999999999999,1,0,4,0,7,0,43,0,15,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
8,2025-10-04,Nacional,Moreirense,3 - 2,2.532,1.7115,0,0,2,0,7,0,58,0,17,0,2,0,0.0,0.0,0.4,0.0,0.0,0.0
8,2025-10-05,Porto,Benfica,0 - 0,1.0406,0.134,0,0,0,0,2,0,51,0,8,0,3,0,0.0,25.0,0.0,17.0,0.0,0.0
8,2025-10-05,Rio Ave,Tondela,3 - 0,1.2955,1.0175,1,0,0,0,7,0,47,0,13,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
8,2025-10-05,Sporting CP,Sporting Braga,1 - 1,1.4207,1.3187,0,0,0,0,3,0,44,0,13,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
8,2025-10-04,Vitória Guimarães,Santa Clara,2 - 1,1.712,1.4167,0,0,0,0,7,0,52,0,14,0,9,0,0.0,0.0,0.0,0.0,0.0,0.0
9,2025-10-24,Alverca,Gil Vicente,0 - 4,1.4711,1.4411,0,0,1,0,2,0,56,0,6,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
9,2025-10-25,Benfica,Arouca,5 - 0,4.4862,0.4015,0,0,3,0,8,0,53,0,17,0,9,0,5.0,0.0,0.0,0.0,0.0,0.0
9,2025-10-26,Estoril,Nacional,1 - 1,1.6105,1.3698,0,0,1,0,4,0,59,0,13,0,6,0,0.0,0.0,1.0,0.0,0.0,0.4
9,2025-10-25,Estrela Amadora,Rio Ave,1 - 2,0.8272999999999999,0.6563,0,0,0,0,2,0,57,0,16,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
9,2025-10-26,Famalicão,Vitória Guimarães,2 - 0,1.6175,0.532,0,0,0,0,10,0,50,0,15,0,5,0,4.0,0.0,0.0,0.0,0.0,0.0
9,2025-10-27,Moreirense,Porto,1 - 2,0.32,2.0881,0,0,0,0,1,0,39,0,8,0,2,0,0.0,0.0,0.0,0.0,13.0,0.0
9,2025-10-25,Santa Clara,AVS,2 - 0,2.056,0.2416999999999999,0,0,1,0,5,0,60,0,20,0,8,0,0.0,4.5,0.0,0.0,0.0,0.0
